Route Name,%CharlieCard,%Other,Total Boardings,Large Triplex Roll mag Stripe,MBTA Old Tickets,PreCut Triplex w mag Stripe,Small Paper Roll mag Stripe,CharlieCard,Other
216,72,12,800,92,7,15,14,577,95
SL Washington,79,8,11569,1038,130,275,84,9112,930
39,77,6,9021,787,382,233,68,6981,570
Green Line B,80,8,8404,656,150,104,57,6730,707
1,77,8,6963,732,139,99,67,5360,566
Green Line C,84,8,6724,410,83,62,29,5621,519
23,73,10,4353,514,30,121,46,3191,451
111,61,11,3853,623,61,363,40,2345,421
66,76,7,3747,382,96,116,33,2851,269
32,70,8,3580,598,55,102,23,2500,302
77,79,8,3522,366,58,25,25,2768,280
116,60,14,3390,639,15,176,49,2046,465
117,60,15,3373,619,13,173,35,2019,514
86,76,5,3297,443,70,74,18,2514,178
28,70,13,3279,361,17,134,38,2287,442
15,74,9,3139,381,18,102,32,2323,283
101,71,10,3101,469,43,33,38,2196,322
88,73,9,3063,422,51,51,24,2246,269
70,69,10,3035,456,48,82,47,2084,318
87,77,8,3021,347,39,44,37,2323,231
SL1 (Waterfront),59,10,2922,802,62,26,17,1735,280
22,73,9,2891,407,23,93,20,2097,251
109,68,11,2684,424,24,89,31,1818,298
108,69,11,2646,403,53,35,28,1831,296
104,70,10,2459,423,17,25,28,1726,240
69,76,8,2383,274,32,36,33,1807,201
47,78,7,2371,199,112,34,18,1852,156
16,73,9,2360,336,22,53,15,1719,215
10,74,11,2338,236,60,49,9,1733,251
9,84,5,2276,179,42,25,19,1906,105
70A,71,10,2226,281,48,55,35,1580,227
31,69,7,2183,398,29,87,13,1514,142
Green Line D,84,4,2146,220,14,7,7,1804,94
93,77,6,2120,253,48,39,15,1632,133
120,62,14,2105,414,15,61,19,1309,287
11,76,11,2037,185,35,31,15,1556,215
240,67,14,1913,257,19,57,31,1290,259
Green Line E,78,9,1875,182,38,25,7,1463,160
17,67,11,1872,327,19,54,23,1252,197
89,71,7,1790,305,31,36,10,1277,131
225,79,7,1766,215,25,7,11,1387,121
21,71,7,1710,301,22,59,5,1209,114
34,66,10,1674,283,35,63,14,1108,171
134,63,19,1668,224,20,37,23,1052,312
95,64,12,1538,278,30,34,18,989,189
80,74,8,1538,211,33,28,5,1136,125
36,71,7,1437,216,30,55,9,1024,103
51,74,7,1428,200,28,41,9,1054,96
96,80,4,1374,141,57,10,12,1093,61
83,73,13,1304,135,14,11,14,956,174
215,74,11,1295,151,12,17,16,952,147
238,67,13,1289,197,16,24,14,868,170
110,70,9,1285,224,12,23,10,900,116
136,74,9,1256,136,42,16,10,933,119
43,80,8,1223,105,10,25,6,977,100
106,73,8,1206,185,14,18,15,881,93
442,66,11,1197,168,36,49,26,792,126
44,76,9,1178,129,4,37,9,892,107
45,74,11,1151,119,7,29,15,856,125
62,77,9,1081,107,14,13,12,837,98
94,77,5,1072,132,43,15,4,828,50
92,76,6,1062,120,27,31,15,802,67
19,75,9,1047,114,25,19,8,787,94
214,76,8,983,109,27,7,14,748,78
132,74,8,982,124,26,16,6,730,80
430,73,10,972,122,11,18,12,713,96
220,76,9,966,117,14,9,5,732,89
8,80,6,961,81,32,12,11,767,58
426,52,7,952,155,160,71,10,492,64
76,79,7,950,103,19,9,4,752,63
450,54,17,927,93,109,46,25,501,153
411,75,10,916,107,9,16,6,688,90
78,80,6,912,91,14,17,5,728,57
429,58,32,911,28,6,20,36,526,295
112,71,9,886,130,7,33,7,628,81
230,70,13,884,115,6,10,16,618,119
350,71,8,874,151,12,14,6,621,70
24,65,16,869,113,14,18,17,569,138
34E,67,11,868,135,8,36,7,583,99
41,71,10,863,124,6,28,7,615,83
222,75,8,860,118,14,4,11,641,72
441,65,12,855,126,39,28,7,556,99
90,71,8,834,137,8,13,14,592,70
26,85,9,822,36,3,4,3,701,75
7,88,4,818,26,14,19,6,723,30
SL Waterfront,60,9,814,161,61,30,3,485,74
35,69,7,802,132,17,30,8,555,60
91,74,9,793,106,6,15,7,590,69
455,58,18,765,75,47,39,23,443,138
99,74,8,759,103,19,8,4,561,64
SL2 (Waterfront),63,14,730,92,50,26,5,458,99
100,76,4,719,113,20,12,2,545,27
137,71,12,694,69,24,12,14,495,80
33,69,12,692,91,8,22,10,475,86
435,61,30,676,15,5,16,27,413,200
79,76,11,664,55,17,10,6,502,74
114,60,10,664,150,4,42,3,400,65
210,75,7,643,85,11,7,8,484,48
29,65,12,631,105,7,26,5,411,77
52,62,19,628,77,16,17,7,389,122
97,71,8,625,111,10,6,4,445,49
459,60,20,614,49,38,22,14,367,124
354,36,10,601,113,185,21,3,219,60
14,73,13,600,62,3,12,9,436,78
119,67,13,589,85,12,13,9,396,74
64,77,6,589,65,7,19,6,456,36
30,71,9,577,79,14,15,5,410,54
131,78,6,524,47,23,12,3,410,29
236,67,11,520,87,13,6,10,348,56
50,76,7,517,59,11,12,3,395,37
211,81,7,505,37,14,4,4,409,37
27,71,9,494,70,5,22,5,349,43
38,77,5,452,52,17,12,1,349,21
105,76,6,441,58,7,7,7,335,27
201,73,13,403,44,5,7,3,293,51
85,82,7,379,32,5,4,3,309,26
67,89,4,377,15,7,4,1,334,16
202,76,10,363,39,3,6,4,275,36
42,72,10,333,42,2,15,3,239,32
74,80,4,332,34,13,5,,266,14
37,74,5,328,48,10,9,1,243,17
18,65,24,322,24,1,9,1,209,78
326,22,4,311,59,143,27,,69,13
4,49,4,297,37,47,49,4,147,13
57,70,7,274,40,18,3,3,192,18
245,72,11,260,37,2,2,3,187,29
436,66,25,256,6,4,5,7,170,64
424,49,4,214,37,55,9,,105,8
465,61,35,210,4,2,1,1,128,74
240H,55,26,200,23,,7,8,110,52
325,28,1,193,27,97,13,,55,1
55,79,7,190,23,3,,1,150,13
40,69,12,181,21,1,9,3,125,22
84,90,1,169,9,5,1,,152,2
212,74,8,168,25,3,2,1,124,13
456,61,28,138,1,1,7,7,84,38
451,61,34,135,,1,5,1,82,46
352,20,2,132,30,66,8,,26,2
351,35,13,130,53,12,3,,45,17
217,75,5,128,21,1,2,1,96,7
448,60,3,122,25,12,8,,73,4
428,28,3,101,31,34,5,,28,3
65,78,10,100,5,5,1,1,78,10
449,61,5,92,9,17,5,,56,5
5,69,24,88,4,,1,1,61,21
68,67,20,85,8,,1,2,57,17
221,74,6,85,16,1,,,63,5
554,43,8,77,14,18,6,,33,6
CT2,82,4,55,2,5,,1,45,2
439,40,14,42,2,5,6,6,17,6
504,22,0,37,10,17,1,1,8,
426/455,56,12,25,3,1,3,1,14,3
32/33,75,8,24,3,,1,,18,2
355,0,0,1,1,,,,,
431,100,0,1,,,,,1,
468,100,0,1,,,,,1,
